ID,Activity,Time stamp,Feed back,経過時間
1,開始,2025-06-01 07:04:31.944005,,
2,終了,2025-06-01 07:23:02.553432,ITパスポート,
3,開始,2025-06-01 09:15:23.525351,,
4,終了,2025-06-01 09:21:17.273208,Python,
5,開始,2025-06-02 07:24:34.842097,,
6,終了,2025-06-02 07:42:41.040579,Python,
7,開始,2025-06-03 07:28:41.211130,,
8,終了,2025-06-03 07:42:30.431246,Python,
9,開始,2025-06-05 07:26:26.277663,,
10,終了,2025-06-05 07:52:16.197241,"Python,SQL",
11,開始,2025-06-06 07:11:30.084178,,
12,終了,2025-06-06 07:47:25.947013,"Python,SQL,ITパスポート",
13,開始,2025-06-08 14:29:05.142126,,
14,終了,2025-06-08 15:26:19.971813,Python,
15,開始,2025-06-08 16:02:05.787119,,
16,終了,2025-06-08 16:56:38.464146,Python,
17,開始,2025-06-08 17:26:18.639656,,
18,終了,2025-06-08 18:13:45.460480,Python,
19,開始,2025-06-08 22:11:04.154391,,
20,終了,2025-06-08 22:37:12.236803,ITパスポート,
21,開始,2025-06-09 07:55:40.741091,,
22,終了,2025-06-09 07:58:14.208513,,
23,開始,2025-06-09 22:40:25.713719,,
24,終了,2025-06-09 22:54:41.475732,ITパスポート,
25,開始,2025-06-10 07:17:39.011435,,
24,終了,2025-06-09 22:54:41.475732,ITパスポート,
27,開始,2025-06-12 06:44:43.059393,,
