ID,Activity,Time stamp,Feed back,Work Time
1,開始,03-03 09:08:15,,
1,終了,03-03 09:08:28,未選択,0時間0分
1,終了,03-03 09:08:37,未選択,0時間0分
1,終了,03-03 09:08:42,未選択,0時間0分
1,終了,03-03 09:08:48,未選択,0時間0分
6,開始,03-03 12:52:44,,
7,開始,03-03 12:52:50,,
8,開始,03-03 12:52:53,,
9,開始,03-03 12:52:59,,
10,開始,03-05 12:44:05,,
10,終了,03-05 12:44:11,未選択,0時間0分
12,開始,03-07 11:23:16,,
12,終了,03-07 11:23:21,未選択,0時間0分
14,開始,03-08 16:38:19,,
14,終了,03-08 16:38:38,codeAI,0時間0分
16,開始,03-08 17:25:52,,
16,終了,03-08 17:26:06,codeAI,0時間0分
18,開始,03-13 08:47:28,,
18,終了,03-13 08:55:29,未選択,0時間8分
20,開始,03-13 08:55:33,,
20,終了,03-13 08:55:42,未選択,0時間0分
22,開始,03-13 08:55:48,,
22,終了,03-13 08:56:08,ITパス,0時間0分
24,開始,03-13 09:13:30,,
24,終了,03-13 09:13:39,未選択,0時間0分
26,開始,03-13 09:14:04,,
26,終了,03-13 09:14:10,未選択,0時間0分
